date,low,high,open,close,volume,symbol,granularity
2019-02-26 12:00:00,0.3151,0.338,0.338,0.3178,360438.0,XRP-USD,6h
2019-02-26 18:00:00,0.3141,0.3178,0.3178,0.3161,2795764.0,XRP-USD,6h
2019-02-27 00:00:00,0.31,0.3158,0.3158,0.3131,1001086.0,XRP-USD,6h
2019-02-27 06:00:00,0.3123,0.3169,0.3131,0.3152,408379.0,XRP-USD,6h
2019-02-27 12:00:00,0.3111,0.3173,0.3153,0.3122,813167.0,XRP-USD,6h
2019-02-27 18:00:00,0.299,0.3165,0.3127,0.3093,1431760.0,XRP-USD,6h
2019-02-28 00:00:00,0.308,0.3132,0.3093,0.3115,446303.0,XRP-USD,6h
2019-02-28 06:00:00,0.3081,0.3121,0.3114,0.3103,310800.0,XRP-USD,6h
2019-02-28 12:00:00,0.3055,0.3145,0.3103,0.308,575130.0,XRP-USD,6h
2019-02-28 18:00:00,0.3072,0.3208,0.3081,0.3142,8757773.0,XRP-USD,6h
2019-03-01 00:00:00,0.3102,0.328,0.3142,0.3166,13553163.0,XRP-USD,6h
2019-03-01 06:00:00,0.3158,0.3207,0.3166,0.3173,3824655.0,XRP-USD,6h
2019-03-01 12:00:00,0.3156,0.3259,0.3173,0.3213,6725088.0,XRP-USD,6h
2019-03-01 18:00:00,0.314,0.3241,0.321,0.3151,3523790.0,XRP-USD,6h
2019-03-02 00:00:00,0.3129,0.3172,0.3151,0.3141,2268404.0,XRP-USD,6h
2019-03-02 06:00:00,0.3094,0.315,0.314,0.313,1172814.0,XRP-USD,6h
2019-03-02 12:00:00,0.311,0.3175,0.3129,0.3114,2028788.0,XRP-USD,6h
2019-03-02 18:00:00,0.3105,0.3168,0.3113,0.3133,1929610.0,XRP-USD,6h
2019-03-03 00:00:00,0.3115,0.3154,0.3135,0.3129,1326952.0,XRP-USD,6h
2019-03-03 06:00:00,0.3126,0.3152,0.313,0.313,659759.0,XRP-USD,6h
2019-03-03 12:00:00,0.3082,0.3139,0.313,0.31,1381489.0,XRP-USD,6h
2019-03-03 18:00:00,0.3077,0.3107,0.3099,0.3095,1666094.0,XRP-USD,6h
2019-03-04 00:00:00,0.3,0.3108,0.3095,0.3035,2125889.0,XRP-USD,6h
2019-03-04 06:00:00,0.297,0.3043,0.3035,0.3021,1168685.0,XRP-USD,6h
2019-03-04 12:00:00,0.2995,0.3076,0.3019,0.3042,1887324.0,XRP-USD,6h
2019-03-04 18:00:00,0.2999,0.3043,0.3043,0.3013,1877554.0,XRP-USD,6h
2019-03-05 00:00:00,0.3,0.3026,0.3013,0.3025,1212386.0,XRP-USD,6h
2019-03-05 06:00:00,0.3022,0.3064,0.3025,0.3052,756280.0,XRP-USD,6h
2019-03-05 12:00:00,0.305,0.3175,0.3054,0.3133,2931292.0,XRP-USD,6h
2019-03-05 18:00:00,0.3122,0.3169,0.3137,0.3141,2214761.0,XRP-USD,6h
2019-03-06 00:00:00,0.3088,0.3157,0.3141,0.3114,1848006.0,XRP-USD,6h
2019-03-06 06:00:00,0.3111,0.3168,0.3115,0.3137,1007478.0,XRP-USD,6h
